"","x"
"113","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
                                댓글조작 의혹 관련 드루킹 김모씨(가운데)가 조사를 받기 위해 28일 오후 서울 서초구 특검 사무실로 출석하고 있다. 연합뉴스                  '드루킹 댓글 조작' 사건을 수사하고 있는 허익범 특별검사팀이 발빠른 수사 행보를 보이고 있다. 정식 수사 시작 하루만에 강제수사를 펼치는 한편, 사건의 중심에 있는 드루킹 김모씨(49) 소환조사 역시 같은 날 진행했다.특검팀은 28일 김씨가 수감된 경기도 의왕시 서울구치소 수용실을 압수수색했다. 서울구치소에는 김씨를 비롯, 공범 '서유기' 박모씨, '둘리' 우모씨, '솔본아르타' 양모씨 등도 수감돼 있다. 특검팀은 구치소 압수수색을 통해 김씨가 작성한 서신과 메모 등을 확보했다. 이날 특검팀은 도모 변호사 등 댓글 조작 행위에 연루된 변호사 2명의 자택과 사무실도 압수수색했다. 경찰 수사단계에서는 입건되지 않았던 두 변호사는 특검팀의 검·경 수사기록 분석 결과 새롭게 입건됐다.특검 관계자는 ""경찰 조사자료를 확인한 결과 두 변호사가 경제적 공진화 모임(경공모)의 핵심멤버 중에서도 핵심멤버였고 댓글조작에 깊숙히 관여했다는 정황을 포착했다""며 ""경찰이 입건을 왜 안했는지는 모르겠지만 경찰 수사기록을 본 결과 충분히 피의자로서 입건이 가능하다고 판단했다""고 설명했다.특히 도 변호사의 경우 김씨가 김경수 경남도지사 당선인에게 오사카 총영사로 추천한 인물로서 특검은 김 당선인 연루 의혹을 밝힐 열쇠를 쥔 인물로 보고 있다. 특검은 향후 두 변호사를 대상으로 소환조사를 진행한다는 방침이다.특검팀은 서울 강남역 인근 특검사무실로 드루킹 김씨를 피의자 신분으로 소환해 조사를 진행했다. 이번 특검 첫 소환조사다. 검·경의 수사자료 분석과 동시에 초반부터 사건의 중심에 있는 인물들을 대상으로 조사를 진행함으로써 수사 밑그림을 빠르게 그려나간다는 게 특검의 복안이다.jasonchoi@fnnews.com 최재성 기자      ▶ 세상의 모든 골 때리는 이야기 'fn파스'▶ 속보이는 연예뉴스 fn스타 ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지
	
	"
"114","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
                                       수백억원대 상속세 탈루 등 비리 의혹을 받고 있는 조양호 한진그룹 회장이 28일 오전 양천구에 위치한 서울남부지검에 피의자 신분으로 출석하고 있다. 조 회장은 ""검찰 조사에 성실히 임하겠다""고 답한 뒤 검찰 청사로 들어갔다.사진=박범준 기자      pio@fnnews.com 박인옥 기자 ▶ 세상의 모든 골 때리는 이야기 'fn파스'▶ 속보이는 연예뉴스 fn스타 ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지
	
	"
"115","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
                         국제구호개발NGO 플랜코리아는 현대제철과 함께 6월 26일(화), 필리핀 현지에서 직업훈련 지원 사업을 위한 오프닝 세리모니를 개최했다고 밝혔다.     현대제철은 현재 6월 23일(토)부터 6월 29일(금)까지 5박 7일의 일정으로 플랜코리아와 함께 필리핀 북 사마르 주 카타르만 및 로페드베가 지역에서 여름 봉사 활동을 진행 중이다. 현대제철은 2015년 미얀마 파견을 시작으로 매년 여름 임직원 봉사 활동을 이어가고 있다.     봉사활동 기간 열린 이번 직업훈련 지원 사업 오프닝 세리모니는 카타르만 TESDA(필리핀 국가 산하 직업훈련원)에서 진행됐다. 행사 현장에는 현대제철 총무실 이명구 이사와 현대제철 임직원, 필리핀 카타르만 프란시스코 로잘리 시장, 로페드 베가 안나팔록 시장, 앤드류 바이도 TESDA 지역 사무소장, 조시모데 아시스 TESA 국장 및 플랜코리아, 플랜필리핀 임직원이 참석했다.     현대제철은 글로벌 사회공헌 사업의 일환인 이번 사업을 통해 TESDA 내 직업 훈련을 위한 시설을 신축하고 기자재를 지원하게 된다. 특히, 자연재해가 빈번한 필리핀의 자연 환경을 고려해, 재난 재해 시에도 안전한 센터를 신축할 예정이다. 또 학생들에게 양질의 직업 기술 훈련 교육을 지원함으로써 소외지역 청년들이 자립할 수 있도록 지원할 것이라고 밝혔다.     플랜코리아 관계자는 “북 사마르 주가 속한 필리핀 지역 8은 남녀 간 고용 격차도 크고, 불완전 고용 비율도 높은 곳”이라며 “현대제철의 직업 훈련 지원 사업이 지역의 청년들의 일자리 창출과 자립 역량 강화에 상당한 도움이 될 것으로 기대한다”고 말했다.     플랜코리아와 현대제철은 학생들이 안전한 물을 사용하고 아동들을 수인성 질병으로부터 보호하고자 모터펌프와 파이프 라인을 연결해 안전한 교내 식수 시설을 지원하였으며, 이를 통해 학생들은 물론 인근 10개 마을 지역사회 주민들이 수혜를 받을 것으로 예상되고 있다.     온라인 중앙일보   ▶ 중앙일보 '홈페이지' / '페이스북' 친구추가▶ 이슈를 쉽게 정리해주는 '썰리'ⓒ중앙일보(http://joongang.co.kr), 무단 전재 및 재배포 금지
	
	"
"116","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
       대형마트와 기업형 슈퍼마켓(SSM)의 영업 일수와 영업 시간을 규제한 유통산업발전법 조항은 헌법에 위배되지 않는다는 헌법재판소 결정이 나왔다. 이에 따라 골목상권 보호를 위한 대형마트와 SSM의 영업시간 제한과 의무휴업제는 현행대로 유지되게 됐다.헌재는 28일 이마트 등 대형마트 7곳이 영업제한을 규정한 유통산업발전법 12조의2가 헌법에 어긋난다며 낸 헌법소원 사건에서 재판관 8(합헌) 대 1(위헌) 의견으로 합헌 결정했다.헌재는 ""심판대상조항은 강한 자본력과 시장지배력을 가진 소수 대형유통업체 등의 독과점에 의한 유통시장 거래질서의 왜곡을 방지하고 전통시장과 중소유통업자들을 보호함으로써 건전한 유통질서를 확립하며, 대형마트 근로자의 건강권을 보호하는 것을 입법목적으로 한다""며 ""이는 헌법에 규정된 경제영역에서의 국가목표 등을 구체화한 공익으로서 그 정당성이 인정된다""고 판단했다.반면 조용호 재판관은 ""국가의 개입은 시장의 불공정성을 제거하는데 그쳐야 하고 경쟁 자체를 제한해서는 안 된다""며 위헌 의견을 냈지만 위헌 정족수(6명)를 채우지 못했다.대형마트들이 문제삼은 유통산업발전법 제12조2는 자치단체장이 건전한 유통질서확립, 대규모 점포와 중소유통업 간의 상생발전을 위해 필요하다고 인정되는 경우 대형마트와 SSM의 영업시간을 제한하거나 의무휴업을 명할 수 있다고 규정하고 있다.영업시간은 자정부터 오전 8시까지 범위 내에서, 의무휴업은 매월 1∼2일안에서 지자체가 조례로 정할 수 있도록 규정함으로써 구체적인 시행시간과 휴무일 지정은 자치단체장의 재량권에 맡겼다.mountjo@fnnews.com 조상희 오은선 기자      ▶ 세상의 모든 골 때리는 이야기 'fn파스'▶ 속보이는 연예뉴스 fn스타 ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지
	
	"
"117","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
헌재 판결에 엇갈리는 여론        헌법재판소가 종교적 신념이나 양심을 이유로 병역을 거부한 자를 처벌하는 것이 위헌인지 판단 내리는 28일 헌재 정문 앞에는 많은 사람들이 몰려들었다. 양심적 병역거부를 반대하는 시민과 단체들은 종교적 신념이나 양심을 이유로 입영을 거부한 사람을 처벌하는 병역법 조항이 합헌이라는 헌법재판소 판단에 ""대한민국 만세!""를 외치며 환호했다. 그러나 얼마 지나지 않아 헌재가 대체복무제를 병역의 종류로 규정하지 않은 같은 법 5조는 헌법 불합치라는 소식이 들리자 반대편에 있던 양심적 병역거부자들과 이들과 뜻을 함께 하는 사람들이 기뻐했다.■""대체복무제, 시대적 흐름… 도입 서둘러야""병역거부자들은 대체복무제 규정 없는 병역법 조항은 헌법불합치라는 헌재 판단에 일제히 환영의 뜻을 나타냈다.병역거부자인 이용석 전쟁없는세상 활동가는 ""한국 사회가 변화하고 여론도 예전과 달라졌다는 시대적 흐름이 반영된 만족스러운 결과""라며 ""이제 모두가 만족할 수 있는 대체복무제를 도입해야 한다""고 말했다.또 다른 병역거부자인 이승규씨는 ""대체복무제는 문재인 대통령의 공약이었던 만큼 이제라도 그 기반이 마련돼 다행""이라며 ""그동안 대체복무제가 없는 현실에서 병역거부를 했다는 이유로 전과자가 돼 많은 고충이 있었는데 앞으로는 더 이상 우리 같은 사람이 나오지 않길 바란다""고 밝혔다.황수영 참여연대 평화군축센터 팀장은 ""대체복무제를 하루라도 빨리 도입해서 병역거부자들이 감옥 가는 상황을 막아야 한다""고 했다. 한상희 건국대 법학전문대학원 교수는 ""대체복무제는 진작 병역법 개정으로 해결됐어야 하는 사안으로, 이제 국회에서 조속히 이 문제를 해결해야 한다""고 강조했다.■""군대 간 사람은 비양심적?""이날 헌재 앞에 피켓을 들고 나타난 바른군인권연구소와 자유와인권연구소 관계자들은 대체복무제가 규정되지 않은 현행법이 헌법에 어긋난다는 헌재 판단에 당황해 하는 모습이었다. ""양심적 병역거부라고 하는데 그럼 현역으로 가는 사람들은 비양심적인 거냐""는 불만이 여기저기서 나왔다.김모씨(48·여)는 ""나라 자체가 정전 상태인데 특정 종교나 세력만 혜택을 입으면 나라가 도미노처럼 무너질 수 있다""며 ""개인을 너무 중시하면 국가나 공동체가 위험할 수 있다""고 주장했다.군복을 연상케 하는 셔츠에 선글라스를 착용하고 나온 이모씨(61)는 ""이건 자칫하면 군대를 피하는 편법의 수단으로 악용될 수도 있다""며 ""모든 국민들이 군대에 가도록 의무화하는 게 좋지, 누군가만 혜택을 받는 것은 말이 안 된다""고 문제를 제기했다.solidkjy@fnnews.com 구자윤 최용준 기자      ▶ 세상의 모든 골 때리는 이야기 'fn파스'▶ 속보이는 연예뉴스 fn스타 ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지
	
	"
"118","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
2018 한경 이공계 대학 평가평판도 특이점 분석학비 저렴하고 장학금 많아우수인력 몰려 입시경쟁률↑중위권대 순위 변동 큰 편숙명여대, 9계단 올라 29위[ 이현진 기자  ] 대학 평판도는 그 대학이 설립된 이후 쌓아온 이미지의 총량과 비례한다. 신설 대학보다는 역사가 오랜 대학이 유리할 수밖에 없다. 평판도 순위도 짧은 기간에 바뀌기 힘들다. ‘2018 한경 이공계 대학 평가’ 평판도 조사에서는 특징적인 변화가 나타났다. 과학기술원의 평판도 상승세가 두드러졌다는 점이다. 세워진 지 상대적으로 오래된 KAIST는 서울대 연세대 고려대에 이어 지난해와 같은 4위를 차지했다. 반면 GIST(광주과학기술원) DGIST(대구경북과학기술원)의 순위가 크게 올랐다. GIST는 6계단 오른 25위, DGIST는 7계단 높은 35위에 올랐다. 고등교육법에 근거한 일반대학과 달리 과기원은 특별법인 과학기술원법에 따라 설립·운영된다. 대학마다 자체 학위과정을 두며 특수대학·국립대학·공과대학·자연과학대학의 특성을 모두 갖추고 있다. 한 대기업 인사담당 임원은 “과기원은 교육기관인 동시에 연구기관”이라며 “정부가 과학기술 발전을 위해 운영하는 기관인 만큼 신뢰도가 높다”고 설명했다. 각종 지원이 뛰어나 우수 인력이 몰리면서 과기원에 대한 평판도가 제자리를 잡아가고 있다는 분석도 나온다. 서울지역 한 대학의 평가담당자는 “과기원이 ‘한경 이공계 대학 평가’에서 좋은 성적을 얻으면서 대학 관계자, 재학생, 학부모, 졸업생은 물론 일반인에게 좋은 이미지를 형성하고 있다는 방증”이라고 말했다.이공계 인재와 관련, 과기원의 평판은 앞으로도 좋아질 가능성이 크다. 연구 기반이 잘 갖춰져 있고 학비가 저렴하며 장학금 혜택도 풍부하기 때문이다. 이들 대학의 입시 경쟁은 상당히 치열한 편이다. 2018학년도 3대 과기원(UNIST는 정시 폐지) 정시 최종 경쟁률은 28.41 대 1이다. 비교적 신생인 DGIST는 44.3 대 1에서 54.1 대 1로, GIST는 8.74 대 1에서 12.32 대 1로 전년보다 경쟁률이 높아졌다.상위권보다는 중위권에서 평판도 순위 변동이 컸다. 29위를 차지한 숙명여대는 지난해(38위)보다 9계단 뛰어올랐다. 숙대는 ‘인문학적 소양’(16위)에서 높은 순위를 보이며 전체 평판도를 끌어올렸다. 2015년 신설된 공과대학은 2년 만에 신입생 정원 비중이 5.1%에서 18.6%로 늘었다. 숙명여대 내 공학을 복수전공이나 부전공으로 삼는 학생도 126명에서 474명으로 4배 가까이로 증가했다. 숙명여대 관계자는 “공학계열을 복수전공하려는 학생은 기초공학부 전임교원에게 체계적으로 진로 관리를 받게 하는 등 이공계 육성에 힘쓰고 있다”고 말했다.이 밖에 숭실대(30위→26위) 영남대(36위→32위) 광운대(28위→24위)는 모두 전년보다 4계단 상승했다. 숭실대는 ‘조직친화력’(23위)에서 비교적 높은 순위에 올랐다. 광운대는 ‘조직친화력’(24위) ‘창의적 문제해결 방식’(22위) ‘전공이론 이해수준’(23위) ‘실용적인 연구 및 기술개발 역량’(20위) 등에서 고루 준수한 평판도를 보였다. 한 대기업 인사담당자는 “광운대는 이공계열 학과를 중심으로 실용적인 학문을 가르친다는 이미지가 강하다”며 “교수나 학생, 학풍 등을 보면 세간의 시선보다는 자신의 연구에 치중하는 분위기”라고 평가했다.이현진 기자 apple@hankyung.com[한경닷컴 바로가기] [글방] [모바일한경 구독신청] ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지
	
	"
"119","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
사용자측<U+00A0>일방적<U+00A0>도입<U+00A0>동의서<U+00A0>서명<U+00A0>강요하기도                                다음달부터 주 최대 52시간 근무제 시행을 앞두고, 한 지방의 공공기관은 청원경찰 근무자들에 대해 감시(監視)·단속(斷續)직을 신청할 지 고민하고 있다. 밤낮으로 건물 경비를 담당하는 청경 업무상 주 60시간 가까이 일한다. 고용노동부로부터 감단직 승인을 받으면 노동시간 단축 대상에서 제외돼 기존처럼 업무를 볼 수 있기 때문이다.■주 52시간 면피(面皮)… 감단직 문의 쇄도28일 고용부에 따르면 감단직 근로자는 법 적용 제외 대상이다. 근로시간 및 휴게, 휴일 관련 적용을 않아 주 52시간을 초과해 업무를 해도 법적 문제가 되지 않는다. 또 주휴수당이나 각종 가산 수당을 지급하지 않아도 된다. 감단직의 경우 경비업무만 하거나 실제 근무시간보다 대기시간이 많아 노동 강도가 낮은 경우에만 신청이 가능하고 고용부 장관의 승인을 받아야 한다.이 때문에 업종 곳곳에서 감단직을 주 52시간 회피용으로 악용하는 사례가 나타나고 있다. 한 노무사는 ""고용부에서 감단직에 대해 주 52시간 초과 근무가 가능하다고 하자 감단직 관련 문의가 이어지고 있다""며 ""기업은 가산 수당까지 지급하지 않아도 된다는 것을 알고 노동시간 단축을 피할 대안이라고 느끼는 것""이라고 했다.특히 기업 임원의 운전기사들은 직격탄을 맞고 있다는 것이다. 고용부가 감단직 사례로 대기시간이 많은 임원 운전기사를 언급하면서부터다. 삼성전자나 SK그룹 등 대기업들은 일찌감치 운전기사에 대해 감단직을 적용하고 있는 것으로 알려졌으며 중견 및 중소기업까지 확산되고 있다.한 중소기업 임원 운전기사인 박모씨(45)는 ""회사가 노동시간 단축 문제로 단속직 신청을 하겠다고 했다. 그런데 운전을 하지 않는 대기시간에는 회사에서 서류 작업을 하는데 단속직 적용은 부당하다""며 ""주 52시간 단축근무는 커녕 임금만 줄어드는 피해를 입게 될 판""며 분통을 터뜨렸다.감단직 신청을 하려면 각 직원마다 업무 특성을 고려해야 하지만 신청이 무분별하게 이뤄져 갈등을 키운다는 지적도 일고 있다. 청원경찰들이 모이는 한 인터넷 사이트에는 감단직 적용 문제를 놓고 청경들의 불만이 가득하다. 이들은 국가 중요시설의 경비를 맡고 있어 업무 중 높은 집중력이 요구된다고 하지만 일부 기업에서는 노동시간 단축 문제로 감단직 신청을 시도하기 때문이다.10년째 한 공공기관에서 청원경찰로 일한 이모씨(37)는 ""최근 회사에서 휴게시간을 늘리는 방안이나 감단직 적용 방안을 고민하는데 많은 청원경찰들은 '감단직은 안된다'고 반발해 혼란이 크다""고 말했다. 그는 ""노동청에 물어봐도 특수 경비 업무가 감단직종에 해당될 수 있는지 감독관의 의견이 저마다 달라 갈피를 못 잡겠다""라고 덧붙였다.■무분별한 신청과 승인… 최근 5년 승인률 98%근로자의 동의 없이 감단직을 도입하는 사례도 발생한다. 감단직을 신청할 때 직원 동의가 필요하지만 지켜지지 않는 것이다. 올해 4월 청와대 청원게시판에 회사로부터 감단직 서류에 서명하란 강요를 받았다는 글이 올라왔다. 글쓴이는 한 대기업의 하청업체 소속 직원이라고 밝히며 ""(노동시간 단축 시행을 앞두고 회사는) 우리가 주 평균 68시간을 근로하고 있어 감시, 단속적 근로자 동의서에 서명을 하라고 했다""며 우리는 단속적 근로자가 아닌데도 ""동의서에 서명을 하지 않을 시 퇴사 처리된다는 얘기를 했다""고 밝혔다.감단직 승인 절차에 허점이 많다는 지적도 나온다. 고용부는 2016년 1만 439건의 감단직 신청 중 1만 263건(98.3%)을 승인했다. 최근 5년간 평균 승인율도 약 98%다. 근로감독관들이 심사과정에서 현장점검을 하지 않고 서류심사로만 승인을 남발하기 때문이다. 이에 일부 기업은 서류 내용을 조작하기도 하는 것으로 전해졌다. 박성우 노동인권실현을 위한 노무사모임 대표는 ""감독관이 현장실사를 하지 않고 감단직 승인을 내주기도 하는데다 한번 적용되면 이를 취소하기도 어렵다""고, 다른 노무사는 ""자문 기업에서 감단직 적용 대상이 아니어도 '서류를 잘 좀 만들어 달라'고 부탁하는 사례도 있다""고 지적했다.고용부는 감단직 심사 과정에서 현장실사를 의무화하도록 규정을 바꾸겠다고 했지만 구체적인 시점은 미정이다. 고용부 관계자는 ""52시간 근로시간 단축을 앞두고 이를 피하기 위해 감단직 신청을 하는 문제를 알고 있다""며 ""현행 근로감독관 집무규정에는 감독관이 서류심사 혹은 현장점검을 재량으로 결정하게끔 돼 있는데 하반기 중으로 현장점검을 의무화하도록 규정을 개정할 것""이라고 말했다.     integrity@fnnews.com 김규태 기자 ▶ 세상의 모든 골 때리는 이야기 'fn파스'▶ 속보이는 연예뉴스 fn스타 ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지
	
	"
"120","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
【서울=뉴시스】28일 경상남도 양산 에이원CC에서 열린 제61회 KPGA선수권대회 withA ONECC 1라운드에서 이동민이 16번홀 티샷을 하고 있다. 2018.06.28. (사진=KPGA 제공)photo@newsis.com[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com, 02-721-7470)로 보내주시면 적극 반영하겠습니다."
"121","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
【서울=뉴시스】28일 경상남도 양산 에이원CC에서 열린 제61회 KPGA선수권대회 withA ONECC 1라운드에서 이정환이 티샷을 하고 있다. 2018.06.28. (사진=KPGA 제공)photo@newsis.com[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com, 02-721-7470)로 보내주시면 적극 반영하겠습니다."
"122","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
【서울=뉴시스】28일 경상남도 양산 에이원CC에서 열린 제61회 KPGA선수권대회 withA ONECC 1라운드에서 이형준이 16번홀에서 공략지점을 살피고 있다. 2018.06.28. (사진=KPGA 제공)photo@newsis.com[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com, 02-721-7470)로 보내주시면 적극 반영하겠습니다."
"123","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
【서울=뉴시스】28일 경상남도 양산 에이원CC에서 열린 제61회 KPGA선수권대회 withA ONECC 1라운드에서 박상현이 16번홀 티샷을 하고 있다. 2018.06.28. (사진=KPGA 제공)photo@newsis.com[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com, 02-721-7470)로 보내주시면 적극 반영하겠습니다."
"124","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
【서울=뉴시스】28일 경상남도 양산 에이원CC에서 열린 제61회 KPGA선수권대회 withA ONECC 1라운드에서 류현우가 16번홀 티샷을 하고 있다. 2018.06.28. (사진=KPGA 제공)photo@newsis.com[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com, 02-721-7470)로 보내주시면 적극 반영하겠습니다."
"125","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
【서울=뉴시스】28일 경상남도 양산 에이원CC에서 열린 제61회 KPGA선수권대회 withA ONECC 1라운드에서 이태희가 10번홀 티샷을 하고 있다. 2018.06.28. (사진=KPGA 제공)photo@newsis.com[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com, 02-721-7470)로 보내주시면 적극 반영하겠습니다."
"126","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
【서울=뉴시스】28일 경상남도 양산 에이원CC에서 열린 제61회 KPGA선수권대회 withA ONECC 1라운드에서 김경태가 15번홀 티샷을 하고 있다. 2018.06.28. (사진=KPGA 제공)photo@newsis.com[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com, 02-721-7470)로 보내주시면 적극 반영하겠습니다."
"127","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
【서울=뉴시스】28일 경상남도 양산 에이원CC에서 열린 제61회 KPGA선수권대회 withA ONECC 1라운드에서 문경준이 10번홀 티샷을 하고 있다. 2018.06.28. (사진=KPGA 제공)photo@newsis.com[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com, 02-721-7470)로 보내주시면 적극 반영하겠습니다."
"128","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	 【광주=뉴시스】구용희 기자 = 광주 환경운동연합이 이용섭 광주시장 당선인의 인수위원회 격인 광주혁신위원회의 '아리랑 문화물길' 등 광주천 유지·관리 구상에 대해 강하게 비판하고 나섰다. 광주 환경운동연합은 28일 논평을 내고 ""하천을 생태공간으로의 복원이 아닌 과거식 도시개발로 수단화하겠다는 발상이다""고 비판했다.  이어 ""혁신위 발표 내용을 보면 광주의 하천 현황과 과제를 제대로 인식하고 있는지 의문이 든다""며 ""하천을 도시개발 수단으로만 보는 시각이 노골적이어서 물하천 정책을 비롯한 민선 7기 도시환경 시정 방향이 시대에 역행하는 것은 아닌지 우려스럽다""고 말했다.  또 ""서울 청계천 모델을 적용하려면 복개하천 복원 등을 통한 도심의 생태공간 결핍 문제를 해소하고, 침체된 구 도심이 생명력을 갖도록 하겠다는 구상이어야 한다""며 ""청계천이 주목 받았던 것은 과거 도시개발 과정에 덮어버린 물길을 다시 시민에게 되돌린 성과 때문이다""고 덧붙였다.광주 환경운동연합은 ""물순환 도시 조성 등 연속 추진사업을 비롯한 통합물관리 체계 마련 등의 과제도 있다. 광주 물 환경 현황과 과제를 파악하고, 이를 단계적으로 풀기 위한 마스터플랜 수립부터 시작돼야 한다""고 강조했다.  이어 ""전날 혁신위 발표는 선거 공약과도 배치되는 구상이다. 시민의 기대에 부응하기 어려워 보인다. 시민사회와 소통하며 시정방향 마련과 정책 실현이 이뤄져야 할 것""이라고 지적했다. 광주혁신위는 전날 혁신위 브리핑룸에서 기자회견을 갖고 광주천 유지·관리를 일원화하는 광주천 통합관리 TF팀을 구성해 광주천과 관련된 생태·시민휴식 공간·관광 등이 어우러진 광주만의 독특하고 유일한 '아리랑 문화물길'로 조성하고 광주천 남광주 사거리부터 중앙대교까지 서울 청계천 방식으로 조성하는 방안을 검토키로 했다고 밝혔다.persevere9@newsis.com▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 ▶ 뉴시스 SNS [페이스북] [트위터]"
"129","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
싸이클린 플랫폼이 지난 27일 오후 7시 싱가폴 만다린 오리엔탈 호텔 그랜드볼룸에서 메인ICO(백서 공개 행사)를 가졌다.이제 싸이클린 플랫폼은 45일간 토큰세일을 시작하며 전세계에 싸이클린 플랫폼의 우수성과 차별성을 알린 뒤 9월 글로벌 거래소에 상장을 하게 된다.금번 ICO행사에는 각계 각층 전문가와 일반인 300여명이 참석하여 블록체인 암호화폐 시장에 대한 뜨거운 관심을 드러냈다.강연자로는 일본 토키타인베스트먼트그룹의 CEO이자 스위스 크립토 밸리협회의 회원으로 글로벌 블록체인 시장에서 명성을 얻고 있는 ‘Cooz Komei Tokita’, 글로벌 블록 체인 재단 (Global Blockchain community)의 수석 어드바이저이자 테크 산업운영, 컨설팅, 혁신 분야에서 오랜 경험을 쌓은 전문가 아마프릿 ‘Amarpreet Singh’ 외에도 David Young, Joseph nam 등이 참여했다. 싸이클린 플랫폼은 일반 자전거, 전기자전거, 전기오토바이, 전기자동차 등 친환경 동력장치의 이용과 가정용 태양광발전, 자기장 발전 등의 친환경 에너지원의 이용에 대한 보상으로 싸이클린 코인을 획득하게 함으로 친환경 에너지원에 대한 관심은 물론, 이용을 더욱 촉진시키는 독창적인 플랫폼으로 이더리움 기반 위에 설계된 지불형, 유틸리티 코인이다.싸이클린 코인은 싸이클린 플랫폼 상에서 각종 렌탈기기의 결제는 물론, 월 단위로 결제하는 이용료 등의 납부에 있어 사전에 약정된 계약 내용을 스마트 컨트렉트 기반 위에서 실행하는 것 외에도 제이페이플랫폼 상에서 일반적인 가맹점의 결제도 가능하게 할 전망이다.싸이클린 암호화폐의 파운더이자 기획자인 제이앤유 그룹의 김대영 회장은 “대부분의 암호화폐들이 생태계가 구현되지 않은 단계에서 아이디어만으로 백서를 만들고 생태계를 만들어 가는 구조라면 싸이클린은 이미 완성되어 기능적인 구현은 물론, 금번 싱가폴 ICO 기간이 끝나는 9월 경 글로벌 거래소 상장과 동시 바로 암호화폐로써의 본질적인 기능인 결제도구로서의 역할이 가능하기에 국내외 블록체인 관련 전문가들의 많은 관심을 받고 있다.""고 밝혔다.한편 싸이클린은 지난 27일 싱가폴 만다린호텔 대대적인 ICO를 통해 본격적인 토큰세일에 나설 계획이다.< Copyright ⓒ MBN(www.mbn.co.kr) 무단전재 및 재배포 금지 >
	
	"
